address	type	name
EXTERNAL:00000060	Function	KERNEL32.DLL::ReadConsoleInputA
EXTERNAL:00000061	Function	KERNEL32.DLL::ReadFile
EXTERNAL:00000062	Function	KERNEL32.DLL::ReleaseMutex
EXTERNAL:00000063	Function	KERNEL32.DLL::RemoveDirectoryA
EXTERNAL:00000064	Function	KERNEL32.DLL::SetConsoleMode
EXTERNAL:00000065	Function	KERNEL32.DLL::SetCurrentDirectoryA
EXTERNAL:00000066	Function	KERNEL32.DLL::SetEvent
EXTERNAL:00000067	Function	KERNEL32.DLL::SetFilePointer
EXTERNAL:00000068	Function	KERNEL32.DLL::SetStdHandle
EXTERNAL:00000069	Function	KERNEL32.DLL::TlsAlloc
EXTERNAL:0000006a	Function	KERNEL32.DLL::TlsFree
EXTERNAL:0000006b	Function	KERNEL32.DLL::TlsGetValue
EXTERNAL:0000006c	Function	KERNEL32.DLL::TlsSetValue
EXTERNAL:0000006d	Function	KERNEL32.DLL::WaitForSingleObject
EXTERNAL:0000006e	Function	KERNEL32.DLL::WriteConsoleA
EXTERNAL:0000006f	Function	KERNEL32.DLL::WriteFile
EXTERNAL:00000070	Function	COMDLG32.DLL::GetOpenFileNameA
EXTERNAL:00000071	Function	DSOUND.DLL::DirectSoundCreate
EXTERNAL:00000072	Function	DSOUND.DLL::DirectSoundEnumerateA
EXTERNAL:00000073	Function	MSACM32.DLL::acmMetrics
EXTERNAL:00000074	Function	SIMD_W95.DLL::SIMD_InitDriver
EXTERNAL:00000075	Function	SIMD_W95.DLL::SIMD_PlayTune
EXTERNAL:00000076	Function	SIMD_W95.DLL::SIMD_RemoveDriver
EXTERNAL:00000077	Function	SIMD_W95.DLL::SIMD_StopTune
EXTERNAL:00000078	Function	DDRAW.DLL::DirectDrawCreate
EXTERNAL:00000079	Function	WINMM.DLL::midiOutGetDevCapsA
EXTERNAL:0000007a	Function	WINMM.DLL::midiOutGetNumDevs
EXTERNAL:0000007b	Function	WINMM.DLL::mmioAdvance
EXTERNAL:0000007c	Function	WINMM.DLL::mmioAscend
EXTERNAL:0000007d	Function	WINMM.DLL::mmioClose
EXTERNAL:0000007e	Function	WINMM.DLL::mmioCreateChunk
EXTERNAL:0000007f	Function	WINMM.DLL::mmioDescend
EXTERNAL:00000080	Function	WINMM.DLL::mmioGetInfo
EXTERNAL:00000081	Function	WINMM.DLL::mmioOpenA
EXTERNAL:00000082	Function	WINMM.DLL::mmioRead
EXTERNAL:00000083	Function	WINMM.DLL::mmioSeek
EXTERNAL:00000084	Function	WINMM.DLL::mmioSetInfo
EXTERNAL:00000085	Function	WINMM.DLL::mmioWrite
EXTERNAL:00000086	Function	WINMM.DLL::timeGetTime
00000186	Label	DAT_00000186
0000023b	Label	SUB_0000023b
00400000	Label	IMAGE_DOS_HEADER_00400000
00400258	Label	DAT_00400258
00410000	Label	LAB_00410000
00410078	Function	FUN_00410078
0041007c	Function	FUN_0041007c
004100c9	Label	LAB_004100c9
00410167	Label	LAB_00410167
00410170	Label	LAB_00410170
0041017a	Label	LAB_0041017a
0041019e	Label	LAB_0041019e
0041020d	Label	LAB_0041020d
00410246	Label	LAB_00410246
0041025f	Label	LAB_0041025f
00410277	Label	LAB_00410277
00410281	Label	LAB_00410281
0041028b	Label	LAB_0041028b
004102a4	Label	LAB_004102a4
0041031d	Label	LAB_0041031d
004103e6	Label	LAB_004103e6
004103ef	Label	LAB_004103ef
004103f9	Label	LAB_004103f9
00410462	Label	LAB_00410462
00410483	Label	LAB_00410483
0041049f	Label	LAB_0041049f
004104f4	Label	LAB_004104f4
00410509	Label	LAB_00410509
0041051c	Label	LAB_0041051c
00410521	Label	LAB_00410521
00410545	Label	LAB_00410545
004105a6	Label	LAB_004105a6
0041064e	Label	LAB_0041064e
00410657	Label	LAB_00410657
00410661	Label	LAB_00410661
00410698	Label	LAB_00410698
004106c0	Label	LAB_004106c0
004106cf	Label	LAB_004106cf
00410755	Label	LAB_00410755
00410774	Label	LAB_00410774
00410779	Label	LAB_00410779
0041079c	Label	LAB_0041079c
004107a6	Label	LAB_004107a6
004107be	Label	LAB_004107be
004107cc	Label	LAB_004107cc
00410803	Label	LAB_00410803
0041081a	Label	LAB_0041081a
0041083f	Label	LAB_0041083f
0041088f	Label	LAB_0041088f
004108d0	Label	LAB_004108d0
004108e1	Label	LAB_004108e1
004108eb	Label	LAB_004108eb
004108fa	Label	LAB_004108fa
00410934	Label	LAB_00410934
00410988	Label	LAB_00410988
004109bc	Label	LAB_004109bc
004109c1	Label	LAB_004109c1
00410a48	Function	FUN_00410a48
00410aa0	Label	LAB_00410aa0
00410ab6	Label	LAB_00410ab6
00410ac9	Label	LAB_00410ac9
00410af0	Label	LAB_00410af0
00410b18	Label	LAB_00410b18
00410b35	Label	LAB_00410b35
00410b4b	Label	LAB_00410b4b
00410b79	Label	LAB_00410b79
00410c8c	Label	LAB_00410c8c
00410ca2	Label	LAB_00410ca2
00410cd1	Label	LAB_00410cd1
00410cf3	Label	LAB_00410cf3
00410d09	Label	LAB_00410d09
00410fb2	Label	LAB_00410fb2
00410fc7	Label	LAB_00410fc7
00410fdf	Label	LAB_00410fdf
00411008	Label	LAB_00411008
00411020	Label	LAB_00411020
00411049	Label	LAB_00411049
00411061	Label	LAB_00411061
0041108a	Label	LAB_0041108a
004110a2	Label	LAB_004110a2
004110cb	Label	LAB_004110cb
004110e3	Label	LAB_004110e3
0041110c	Label	LAB_0041110c
00411124	Label	LAB_00411124
0041114d	Label	LAB_0041114d
00411165	Label	LAB_00411165
0041118e	Label	LAB_0041118e
004111a6	Label	LAB_004111a6
004111cf	Label	LAB_004111cf
004111e7	Label	LAB_004111e7
00411210	Label	LAB_00411210
00411228	Label	LAB_00411228
00411251	Label	LAB_00411251
00411269	Label	LAB_00411269
00411292	Label	LAB_00411292
004112aa	Label	LAB_004112aa
004112d3	Label	LAB_004112d3
004112eb	Label	LAB_004112eb
00411314	Label	LAB_00411314
0041132c	Label	LAB_0041132c
00411355	Label	LAB_00411355
0041136d	Label	LAB_0041136d
00411396	Label	LAB_00411396
004113ae	Label	LAB_004113ae
004113d7	Label	LAB_004113d7
004113ef	Label	LAB_004113ef
00411418	Label	LAB_00411418
00411430	Label	LAB_00411430
00411459	Label	LAB_00411459
00411471	Label	LAB_00411471
0041149a	Label	LAB_0041149a
004114b2	Label	LAB_004114b2
004114db	Label	LAB_004114db
004114f3	Label	LAB_004114f3
0041151c	Label	LAB_0041151c
00411534	Label	LAB_00411534
0041155d	Label	LAB_0041155d
00411575	Label	LAB_00411575
0041159e	Label	LAB_0041159e
004115b6	Label	LAB_004115b6
004115df	Label	LAB_004115df
004115f7	Label	LAB_004115f7
00411620	Label	LAB_00411620
00411638	Label	LAB_00411638
00411661	Label	LAB_00411661
00411679	Label	LAB_00411679
004116a2	Label	LAB_004116a2
004116ba	Label	LAB_004116ba
004116e3	Label	LAB_004116e3
004116fb	Label	LAB_004116fb
00411724	Label	LAB_00411724
0041173c	Label	LAB_0041173c
00411765	Label	LAB_00411765
0041177d	Label	LAB_0041177d
004117a6	Label	LAB_004117a6
004117be	Label	LAB_004117be
004117e7	Label	LAB_004117e7
004117ff	Label	LAB_004117ff
00411828	Label	LAB_00411828
00411840	Label	LAB_00411840
00411869	Label	LAB_00411869
00411881	Label	LAB_00411881
004118aa	Label	LAB_004118aa
004118c2	Label	LAB_004118c2
004118eb	Label	LAB_004118eb
00411903	Label	LAB_00411903
0041192c	Label	LAB_0041192c
00411944	Label	LAB_00411944
0041196d	Label	LAB_0041196d
00411985	Label	LAB_00411985
004119ae	Label	LAB_004119ae
004119c6	Label	LAB_004119c6
004119ef	Label	LAB_004119ef
00411a07	Label	LAB_00411a07
00411a30	Label	LAB_00411a30
00411a48	Label	LAB_00411a48
00411a71	Label	LAB_00411a71
00411a89	Label	LAB_00411a89
00411ab2	Label	LAB_00411ab2
00411aca	Label	LAB_00411aca
00411af3	Label	LAB_00411af3
00411b0b	Label	LAB_00411b0b
00411b34	Label	LAB_00411b34
00411b4c	Label	LAB_00411b4c
00411b75	Label	LAB_00411b75
00411b8d	Label	LAB_00411b8d
00411bb6	Label	LAB_00411bb6
00411bce	Label	LAB_00411bce
00411bf7	Label	LAB_00411bf7
00411c0f	Label	LAB_00411c0f
00411c38	Label	LAB_00411c38
00411c50	Label	LAB_00411c50
00411c79	Label	LAB_00411c79
00411c91	Label	LAB_00411c91
00411cba	Label	LAB_00411cba
00411cd2	Label	LAB_00411cd2
00411cfb	Label	LAB_00411cfb
00411d13	Label	LAB_00411d13
00411d3c	Label	LAB_00411d3c
00411d54	Label	LAB_00411d54
00411d7d	Label	LAB_00411d7d
00411d95	Label	LAB_00411d95
00411dbe	Label	LAB_00411dbe
00411dd6	Label	LAB_00411dd6
00411dff	Label	LAB_00411dff
00411e17	Label	LAB_00411e17
00411e40	Label	LAB_00411e40
00411e58	Label	LAB_00411e58
00411e81	Label	LAB_00411e81
00411e99	Label	LAB_00411e99
00411ec2	Label	LAB_00411ec2
00411eda	Label	LAB_00411eda
00411f03	Label	LAB_00411f03
00411f1b	Label	LAB_00411f1b
00411f44	Label	LAB_00411f44
00411f5c	Label	LAB_00411f5c
00411f85	Label	LAB_00411f85
00411f9d	Label	LAB_00411f9d
00411fc6	Label	LAB_00411fc6
00411fde	Label	LAB_00411fde
00412007	Label	LAB_00412007
0041201f	Label	LAB_0041201f
00412048	Label	LAB_00412048
00412060	Label	LAB_00412060
00412089	Label	LAB_00412089
004120a1	Label	LAB_004120a1
004120ca	Label	LAB_004120ca
004120e2	Label	LAB_004120e2
0041210b	Label	LAB_0041210b
00412123	Label	LAB_00412123
0041214c	Label	LAB_0041214c
00412164	Label	LAB_00412164
0041218d	Label	LAB_0041218d
004121a5	Label	LAB_004121a5
004121ce	Label	LAB_004121ce
004121e6	Label	LAB_004121e6
0041220f	Label	LAB_0041220f
00412227	Label	LAB_00412227
00412250	Label	LAB_00412250
00412268	Label	LAB_00412268
00412291	Label	LAB_00412291
004122a9	Label	LAB_004122a9
004122d2	Label	LAB_004122d2
004122ea	Label	LAB_004122ea
00412313	Label	LAB_00412313
0041232b	Label	LAB_0041232b
00412354	Label	LAB_00412354
0041236c	Label	LAB_0041236c
00412395	Label	LAB_00412395
004123ad	Label	LAB_004123ad
004123d6	Label	LAB_004123d6
004123ee	Label	LAB_004123ee
00412417	Label	LAB_00412417
0041242f	Label	LAB_0041242f
00412458	Label	LAB_00412458
00412470	Label	LAB_00412470
00412499	Label	LAB_00412499
004124b1	Label	LAB_004124b1
004124da	Label	LAB_004124da
004124f2	Label	LAB_004124f2
0041251b	Label	LAB_0041251b
00412533	Label	LAB_00412533
0041255c	Label	LAB_0041255c
00412574	Label	LAB_00412574
0041259d	Label	LAB_0041259d
004125b5	Label	LAB_004125b5
004125de	Label	LAB_004125de
004125f6	Label	LAB_004125f6
0041261f	Label	LAB_0041261f
00412637	Label	LAB_00412637
00412660	Label	LAB_00412660
00412678	Label	LAB_00412678
004126a1	Label	LAB_004126a1
004126b9	Label	LAB_004126b9
004126e2	Label	LAB_004126e2
004126fa	Label	LAB_004126fa
00412723	Label	LAB_00412723
0041273b	Label	LAB_0041273b
00412764	Label	LAB_00412764
0041277c	Label	LAB_0041277c
004127a5	Label	LAB_004127a5
004127bd	Label	LAB_004127bd
004127e6	Label	LAB_004127e6
004127fe	Label	LAB_004127fe
00412827	Label	LAB_00412827
0041283f	Label	LAB_0041283f
00412868	Label	LAB_00412868
00412880	Label	LAB_00412880
004128a9	Label	LAB_004128a9
004128c1	Label	LAB_004128c1
004128ea	Label	LAB_004128ea
00412902	Label	LAB_00412902
0041292b	Label	LAB_0041292b
00412943	Label	LAB_00412943
0041296c	Label	LAB_0041296c
00412984	Label	LAB_00412984
004129ad	Label	LAB_004129ad
004129c5	Label	LAB_004129c5
004129ee	Label	LAB_004129ee
00412a06	Label	LAB_00412a06
00412a2f	Label	LAB_00412a2f
00412a47	Label	LAB_00412a47
00412a70	Label	LAB_00412a70
00412a88	Label	LAB_00412a88
00412ab1	Label	LAB_00412ab1
00412ac9	Label	LAB_00412ac9
00412af2	Label	LAB_00412af2
00412b0a	Label	LAB_00412b0a
00412b33	Label	LAB_00412b33
00412b4b	Label	LAB_00412b4b
00412b74	Label	LAB_00412b74
00412b8c	Label	LAB_00412b8c
00412bb5	Label	LAB_00412bb5
00412bcd	Label	LAB_00412bcd
00412bf6	Label	LAB_00412bf6
00412c0e	Label	LAB_00412c0e
00412c37	Label	LAB_00412c37
00412c4f	Label	LAB_00412c4f
00412c78	Label	LAB_00412c78
00412c90	Label	LAB_00412c90
00412cb9	Label	LAB_00412cb9
00412cd1	Label	LAB_00412cd1
00412cfa	Label	LAB_00412cfa
00412d12	Label	LAB_00412d12
00412d3b	Label	LAB_00412d3b
00412d53	Label	LAB_00412d53
00412d7c	Label	LAB_00412d7c
00412d94	Label	LAB_00412d94
00412dbd	Label	LAB_00412dbd
00412dd5	Label	LAB_00412dd5
00412dfe	Label	LAB_00412dfe
00412e16	Label	LAB_00412e16
00412e3f	Label	LAB_00412e3f
00412e57	Label	LAB_00412e57
00412e80	Label	LAB_00412e80
00412e98	Label	LAB_00412e98
00412ec1	Label	LAB_00412ec1
00412ed9	Label	LAB_00412ed9
00412f02	Label	LAB_00412f02
00412f1a	Label	LAB_00412f1a
00412f43	Label	LAB_00412f43
00412f5b	Label	LAB_00412f5b
00412f84	Label	LAB_00412f84
00412f9c	Label	LAB_00412f9c
00412fc5	Label	LAB_00412fc5
00412fdd	Label	LAB_00412fdd
00413006	Label	LAB_00413006
0041301e	Label	LAB_0041301e
0041304f	Label	LAB_0041304f
00413067	Label	LAB_00413067
0041308d	Label	LAB_0041308d
004130a5	Label	LAB_004130a5
004130cb	Label	LAB_004130cb
004130e3	Label	LAB_004130e3
00413109	Label	LAB_00413109
00413121	Label	LAB_00413121
0041314b	Label	LAB_0041314b
00413163	Label	LAB_00413163
00413189	Label	LAB_00413189
004131a1	Label	LAB_004131a1
004131c7	Label	LAB_004131c7
004131df	Label	LAB_004131df
00413205	Label	LAB_00413205
0041321d	Label	LAB_0041321d
00413247	Label	LAB_00413247
0041325f	Label	LAB_0041325f
00413285	Label	LAB_00413285
0041329d	Label	LAB_0041329d
004132c3	Label	LAB_004132c3
004132db	Label	LAB_004132db
0041330d	Label	LAB_0041330d
0041341a	Label	LAB_0041341a
00413567	Label	LAB_00413567
00413591	Label	LAB_00413591
004135bb	Label	LAB_004135bb
00413837	Label	LAB_00413837
00413a92	Label	LAB_00413a92
00413c86	Label	LAB_00413c86
00413cb0	Label	LAB_00413cb0
00413d12	Label	LAB_00413d12
00413d58	Label	LAB_00413d58
00413d8c	Label	switchD_00413e03::switchdataD_00413d8c
00413d94	Label	PTR_caseD_2_00413d94
00413da4	Function	FUN_00413da4
00413e03	Label	switchD_00413e03::switchD
00413e0b	Label	switchD_00413e03::caseD_5
00413e15	Label	switchD_00413e03::caseD_4
00413e28	Label	switchD_00413e03::caseD_3
00413e32	Label	switchD_00413e03::caseD_2
00413e67	Label	switchD_00413e03::caseD_0
00413e67	Label	switchD_00413e03::caseD_1
00413e88	Function	FUN_00413e88
00413ea4	Function	FUN_00413ea4
00413ec7	Label	LAB_00413ec7
00413edf	Label	LAB_00413edf
004142b5	Label	LAB_004142b5
004142b8	Function	FUN_004142b8
004142d0	Label	LAB_004142d0
004142e4	Function	FUN_004142e4
0041430f	Label	LAB_0041430f
00414327	Label	LAB_00414327
0041433d	Label	LAB_0041433d
00414355	Label	LAB_00414355
00414388	Label	LAB_00414388
004143a0	Label	LAB_004143a0
004143be	Label	LAB_004143be
004143d6	Label	LAB_004143d6
004143dc	Label	LAB_004143dc
004143f3	Label	LAB_004143f3
0041440b	Label	LAB_0041440b
00414411	Label	LAB_00414411
00414428	Label	LAB_00414428
00414440	Label	LAB_00414440
00414446	Label	LAB_00414446
0041445d	Label	LAB_0041445d
00414475	Label	LAB_00414475
00414478	Label	LAB_00414478
0041448f	Label	LAB_0041448f
004144a7	Label	LAB_004144a7
004144aa	Label	LAB_004144aa
004144b6	Label	LAB_004144b6
004144bb	Label	LAB_004144bb
004144c0	Label	LAB_004144c0
004144ec	Label	LAB_004144ec
0041454a	Label	LAB_0041454a
00414580	Label	LAB_00414580
00414599	Label	LAB_00414599
00414617	Label	LAB_00414617
0041462a	Label	LAB_0041462a
00414636	Label	LAB_00414636
00414656	Label	LAB_00414656
00414662	Label	LAB_00414662
00414673	Label	LAB_00414673
0041467c	Label	LAB_0041467c
00414681	Label	LAB_00414681
00414690	Function	FUN_00414690
0041469b	Label	LAB_0041469b
004146af	Label	LAB_004146af
004146b3	Label	LAB_004146b3
004146b8	Label	LAB_004146b8
004146c0	Function	FUN_004146c0
004146e1	Label	LAB_004146e1
004146f8	Label	LAB_004146f8
00414739	Label	LAB_00414739
00414761	Label	LAB_00414761
004147a2	Label	LAB_004147a2
004147c8	Label	LAB_004147c8
004147cd	Label	LAB_004147cd
004147cf	Label	LAB_004147cf
004147d4	Label	LAB_004147d4
004147dc	Function	FUN_004147dc
00414811	Label	LAB_00414811
00414833	Label	LAB_00414833
00414863	Label	LAB_00414863
00414885	Label	LAB_00414885
004148a7	Label	LAB_004148a7
004148ac	Function	FUN_004148ac
004148d8	Label	LAB_004148d8
004148fa	Label	LAB_004148fa
00414918	Label	LAB_00414918
00414998	Function	FUN_00414998
004149ad	Label	LAB_004149ad
004149f8	Label	LAB_004149f8
00414a8e	Label	LAB_00414a8e
00414a94	Function	FUN_00414a94
00414ab2	Label	LAB_00414ab2
00414abd	Label	LAB_00414abd
00414afa	Label	LAB_00414afa
00414b18	Label	LAB_00414b18
00414b24	Function	FUN_00414b24
00414b3b	Label	LAB_00414b3b
00414b53	Label	LAB_00414b53
00414b5d	Label	LAB_00414b5d
00414bac	Label	LAB_00414bac
00414c4d	Label	LAB_00414c4d
00414c62	Label	LAB_00414c62
00414c69	Label	LAB_00414c69
00414c70	Label	LAB_00414c70
00414c77	Label	LAB_00414c77
00414c7e	Label	LAB_00414c7e
00414c83	Label	LAB_00414c83
00414cca	Label	LAB_00414cca
00414d27	Label	LAB_00414d27
00414d49	Label	LAB_00414d49
00414d50	Label	LAB_00414d50
00414d52	Label	LAB_00414d52
00414d84	Label	LAB_00414d84
00414dc3	Label	LAB_00414dc3
00414dda	Label	LAB_00414dda
00414ddf	Label	LAB_00414ddf
00414e15	Label	LAB_00414e15
00414e43	Label	LAB_00414e43
00414e5c	Function	FUN_00414e5c
00414e68	Function	FUN_00414e68
00414e7a	Label	LAB_00414e7a
00414e88	Label	LAB_00414e88
00414e9b	Label	LAB_00414e9b
00414ea9	Label	LAB_00414ea9
00414eba	Label	LAB_00414eba
00414ecb	Label	LAB_00414ecb
00414ee2	Label	LAB_00414ee2
